description,date,value,type,category
Abastecimento,07/07/2024,200.00,expense,Gasolina
Pizza,06/07/2024,96.15,expense,Gastos diversos
Parcela Anderson,10/07/2024,1000.00,income,Empréstimos Anderson
Feijão tropeiro,12/07/2024,60.21,expense,Gastos diversos
Fusível e relé para o farol de milha do astra,15/07/2024,21.00,expense,Gastos diversos
Parcela apartamento julho,20/07/2024,1056.97,expense,Apartamento
Parcela cartão julho,20/07/2024,1852.86,expense,Cartão
Internet julho,20/07/2024,183.64,expense,Internet
Abastecimento,20/07/2024,150.00,expense,Gasolina
Supermercado,20/07/2024,136.67,expense,Gastos diversos
Capixaba cap,20/07/2024,10.00,expense,Gastos diversos
Bolão mega sena,20/07/2024,10.00,expense,Gastos diversos
Açaí,20/07/2024,36.00,expense,Gastos diversos
Pagamento mensal,30/07/2024,589.26,income,Salário
Compra 30 metros de fio de internet e pistola da mangueira,27/07/2024,90.00,expense,Gastos diversos
Empréstimo Paula,30/07/2024,5000.00,expense,Gastos diversos
Dividendos FII's julho,31/07/2024,292.44,income,Dividendos de FII's
Café da manhã,03/08/2024,20.00,expense,Gastos diversos
Pastel,03/08/2024,40.00,expense,Gastos diversos
Empréstimo anderson,10/08/2024,1000.00,income,Empréstimos Anderson
Parcela cartão de todos,10/08/2024,29.70,income,Empréstimos Mãe/Michelle
Conta internet,10/08/2024,182.00,expense,Internet
Prestação habitacional caixa,19/08/2024,386.46,expense,Apartamento
Cartão Santander,19/08/2024,1320.93,expense,Cartão
Cartão Picpay,19/08/2024,420.31,expense,Cartão
Parcelas apartamento,19/08/2024,1062.93,expense,Apartamento
Parcela 01 direção hidráulica,26/08/2024,170.00,expense,Gastos diversos
Alcool aditivado,26/08/2024,175.81,expense,Gasolina
Empréstimo paula,26/08/2024,725.00,income,Empréstimos Paula
Parcela caixa apartamento,29/08/2024,405.36,expense,Apartamento
Lanche,26/08/2024,76.90,expense,Gastos diversos
Salário Mensal,29/08/2024,3071.98,income,Salário
Imposto de renda 2024,29/08/2024,55.27,income,Gastos diversos
Capixaba Cap,29/08/2024,20.00,expense,Gastos diversos
Fones,04/09/2024,284.81,expense,Gastos diversos
Rifa paula,02/09/2024,30.00,expense,Gastos diversos
Marmita arcelor,30/08/2024,42.00,expense,Gastos diversos
Rendimento picpay,31/08/2024,47.45,income,Rendimentos Picpay
Fatura Picpay,09/09/2024,420.31,expense,Cartão
Fatura Santander,09/09/2024,1712.28,expense,Cartão
Parcela apartamento,09/09/2024,1069.01,expense,Apartamento
Rendimentos FII's agosto,31/08/2024,309.03,income,Dividendos de FII's
Rendimentos picpay julho,31/07/2024,121.40,income,Rendimentos Picpay
Dataprev,10/09/2024,100.00,expense,Gastos diversos
Parcela Anderson,12/09/2024,1000.00,income,Empréstimos Anderson
Cartão de todos,12/09/2024,29.70,income,Empréstimos Mãe/Michelle
Etanol aditivado,12/09/2024,174.80,expense,Gasolina
parcela 02 direção hidraulica,12/09/2024,170.00,expense,Gastos diversos
Parcela caixa apartamento,25/09/2024,356.78,expense,Apartamento
Internet,17/09/2024,185.87,expense,Internet
Lanche Minuano,21/09/2024,89.00,expense,Gastos diversos
Sobremesa Doce de pote,21/09/2024,20.00,expense,Gastos diversos
Salário setembro,27/09/2024,4722.34,income,Salário
Empréstimo Paula,24/09/2024,725.00,income,Empréstimos Paula
Escova de dentes comprada de Michelle,24/09/2024,12.00,expense,Gastos diversos
Parcela caixa,25/09/2024,375.68,expense,Apartamento
Gasolina aditivada,25/09/2024,249.14,expense,Gasolina
Rendimentos FII's setembro,30/09/2024,306.50,income,Dividendos de FII's
Fatura picpay agosto,09/10/2024,420.31,expense,Cartão
Fatura santander agosto,09/10/2024,1599.46,expense,Cartão
Parcela entrada ap agosto 1,09/10/2024,857.36,expense,Apartamento
Parcela entrada ap agosto 2,09/10/2024,217.61,expense,Apartamento
Gasolina,14/10/2024,161.20,expense,Gasolina
Internet,14/10/2024,185.99,expense,Internet
Compra cuecas,14/10/2024,179.80,expense,Gastos diversos
Empréstimo Anderson,09/10/2024,1500.00,income,Empréstimos Anderson
Minuano,13/10/2024,71.50,expense,Gastos diversos
Adiantamento PAR,18/10/2024,1982.93,income,Salário
Jantar Letra C Joilson,19/10/2024,32.00,expense,Gastos diversos
Lanche Diego letra C,20/10/2024,43.00,expense,Gastos diversos
Cavucation,20/10/2024,180.80,expense,Gastos diversos
SOS,20/10/2024,12.50,expense,Gastos diversos
Doação,22/10/2024,10.00,expense,Gastos diversos
Parcela Caixa Outubro,23/10/2024,621.12,expense,Apartamento
Parcela IRPF outubro,24/10/2024,56.69,expense,Gastos diversos
Marmita letra C,26/10/2024,40.00,expense,Gastos diversos
Golpe perfumes,27/10/2024,229.80,expense,Gastos diversos
Cavucation coffe,29/10/2024,54.60,expense,Gastos diversos
